Session_ID,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
TEST_LIMIT_ACB_10,Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 6.769.710 Triệu đồng.'],Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 6.769.710 Triệu đồng.,8.279.694 triệu đồng,1.0,0.822270202589594,0.0,0.0,0.19128976806996845
TEST_LIMIT_ACB_11,Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 4.280.589 Triệu đồng.'],Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 4.280.589 Triệu đồng.,4.280.589 triệu đồng,1.0,0.8173981424466192,0.9999999999,1.0,0.9447184649394496
TEST_LIMIT_ACB_12,Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 948.549 .176 Triệu đồng.'],Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 948.549.176 Triệu đồng.,948.549.176 triệu đồng,1.0,0.8394018221285107,0.9999999999,1.0,0.9539501313311883
TEST_LIMIT_ACB_13,Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 857.133.676 Triệu đồng.'],Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 857.133.676 Triệu đồng.,857.133.676 triệu đồng,1.0,0.832808361454096,0.9999999999,1.0,0.9518817588498194
TEST_LIMIT_ACB_14,Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là (21.190.910) Triệu đồng.'],Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là (21.190.910) Triệu đồng.,-21.190.910 triệu đồng,1.0,0.81817991435643,0.9999999999,1.0,0.9453890299241419
TEST_LIMIT_BCM_5,Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là 851.829.440.858 VND.'],Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là 851.829.440.858 VND.,851.829.440.858 VND,1.0,0.867959576434069,0.9999999999,1.0,0.9326536308501874
TEST_LIMIT_BCM_6,Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là 236.726.284.587 đồng.'],Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là 236.726.284.587 đồng.,236.726.284.587 VND,1.0,0.862469379421028,0.9999999999,1.0,0.9383735969766447
TEST_LIMIT_BCM_7,Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 50.321.178.875.075.'],Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 50.321.178.875.075.,50.321.178.875.075 VND,1.0,0.8830203487961539,0.9999999999,0.0,0.6983603091237834
TEST_LIMIT_BCM_8,Tổng nợ phải trả của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Lỗi truy vấn RAG: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 250000, model: gemini-2.5-flash\nPlease retry in 48.372941767s. [links {\n  description: ""Learn more about Gemini API quotas""\n  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""\n}\n, violations {\n  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""\n  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""\n  quota_dimensions {\n    key: ""model""\n    value: ""gemini-2.5-flash""\n  }\n  quota_dimensions {\n    key: ""location""\n    value: ""global""\n  }\n  quota_value: 250000\n}\n, retry_delay {\n  seconds: 48\n}\n]']","Hiện tại, tôi không thể cung cấp thông tin về tổng nợ phải trả của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 do lỗi truy vấn dữ liệu.",34.694.406.192.723 VND,0.5,0.0,0.0,0.0,0.18096611715101904
TEST_LIMIT_BCM_9,Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là (398.631.979.587) VND.'],Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là (398.631.979.587) VND.,-398.631.979.587 VND,1.0,0.8684963399415361,0.9999999999,1.0,0.9470570639611285
